______________________________________________________ 
|     Chave|     Dados|                          Nome|
|.......564|.........0|......................Malaysha|
|.......566|.........0|.......................Memphys|
|.......572|.........0|.........................Tommi|
|.......575|.........0|........................Shlome|
|.......575|.........0|........................Shlome|
|.......575|.........0|........................Shlome|
|.......576|.........0|........................Natori|
|.......580|.........0|........................Yamili|
|.......580|.........0|........................Osyris|
|.......580|.........0|..........................Ward|
|.......580|.........0|..........................Ward|
|.......580|.........0|........................Cletus|
|.......589|.........0|........................Zailen|
|.......589|.........0|........................Zaylen|
|.......593|.........0|........................Tanish|
|.......594|.........0|..........................Veer|
|.......597|.........0|.........................Zavin|
|.......600|.........0|.......................Tamaria|
|.......600|.........0|.......................Zendaya|
|.......600|.........0|........................Zadaya|
|.......600|.........0|........................Zoraya|
|.......600|.........0|........................Zelaya|
|.......602|.........0|.........................Gotti|
|.......602|.........0|.........................Gotti|
|.......604|.........0|........................Jalyla|
|.......604|.........0|.......................Janayla|
|.......604|.........0|.......................Janiyla|
|.......604|.........0|.......................Janiyla|
|.......604|.........0|.......................Jalayla|
|.......604|.........0|........................Jalyla|
|.......610|.........0|..........................Trip|
|.......613|.........0|.........................Betty|
|.......613|.........0|........................Zaahir|
|.......613|.........0|........................Zaahir|
|.......614|.........0|........................Smriti|
|.......614|.........0|........................Smriti|
|.......622|.........0|....................Panayiotis|
|.......623|.........0|...........................Sam|
|.......623|.........0|...........................Sem|
|.......623|.........0|...........................Som|
|.......623|.........0|...........................Som|
|.......624|.........0|......................Shealynn|
|.......624|.........0|......................Shaylynn|
|.......624|.........0|......................Shealynn|
|.......624|.........0|......................Shailynn|
|.......624|.........0|......................Shailynn|
|.......624|.........0|......................Saralynn|
|.......626|.........0|.........................Daisy|
|.......626|.........0|.........................Deisy|
|.......626|.........0|.........................Deisy|
|.......626|.........0|.........................Daisy|
|.......627|.........0|........................Erixon|
|.......628|.........0|.........................Yadir|
|.......628|.........0|.........................Orion|
|.......628|.........0|.........................Yamir|
|.......628|.........0|.........................Oryon|
|.......628|.........0|.........................Oryon|
|.......628|.........0|.........................Yasir|
|.......628|.........0|.........................Yahir|
|.......631|.........0|.......................Stassia|
|.......631|.........0|........................Stasia|
|.......631|.........0|.......................Stassia|
